RF-prob,LR-prob,ADA-prob,NB-prob,DT-prob,MLP-prob,KNN-prob,EX-prob,LGBM-prob,QDA-prob,LDA-AAC,Target
1.0,0.9878317693130779,0.7506647724660261,4.0084568240470023e-10,1.0,0.9999999720354508,1.0,0.99,0.9999782621791069,1.0547527435751693e-80,0.8416472572871647,1
0.0,0.09211641829334778,0.43376867762326343,1.219751939174835e-14,0.0,0.0003835858148805683,0.0,0.0,2.3501172491764606e-05,3.9792571499776666e-83,0.4426770346459584,0
1.0,0.9980234624170048,0.6589810267200379,1.0,1.0,0.9999999960015087,1.0,0.94,0.9999782621791069,1.0,0.9721876629329276,1
0.0,3.499027883988106e-24,0.36006340085895727,5.658856420708157e-75,0.0,6.38107168535673e-07,0.0,0.0,2.1951383446395177e-05,1.1089366618238684e-149,0.05379748100062858,0
0.96,0.8141160583847514,0.5489615016606951,8.082259937107628e-14,1.0,0.9999716150864131,1.0,0.9,0.9999782621791069,1.3423724452673934e-82,0.3337562026232862,1
0.0,0.03071907261437797,0.42427534977054515,1.5054189211193225e-15,0.0,0.0004036388543095416,0.0,0.0,2.181088584418384e-05,1.1468965723774833e-83,0.205992211590591,0
0.99,0.8633050595234644,0.5838669021521309,7.587768602235213e-14,1.0,0.9999932842531102,0.8,0.92,0.9999782621791069,3.49329716952722e-82,0.2878356995898413,1
0.02,0.040510751474241005,0.438860883126746,1.0,0.0,0.0025913581836676906,0.0,0.01,2.1772198259892852e-05,1.0522773232085095e-17,0.5685779261644675,0
1.0,0.9999970745160878,0.6811000326196699,1.0,1.0,0.9999999999999887,1.0,0.99,0.9999782621791069,1.0,0.9543725229840697,1
0.02,0.003970856730588249,0.41588460655963094,1.2141008441321624e-16,0.0,0.01580309941113776,0.0,0.0,0.00019030241797589543,1.0195381578611143e-86,0.025149719641804544,0
0.04,0.003986742838696116,0.4214003953704018,2.647130096023811e-15,0.0,0.0025154249802351552,0.0,0.02,3.09881347494988e-05,8.949285447349598e-87,0.2244363470644976,0
0.99,0.5847889667530523,0.5553129464271663,4.7962209709663655e-14,1.0,0.9412838633260422,1.0,0.85,0.9999522721479743,1.2096472016547958e-82,0.43227452249580633,1
0.0,0.09713602687371027,0.4176107450153226,2.0186783984809148e-15,0.0,0.001887623217139049,0.0,0.03,2.1696158113758635e-05,1.936435823585989e-83,0.1962341974542569,0
0.99,0.9834444706587631,0.5666974301023184,1.4142920613973399e-11,1.0,0.999999656781838,1.0,0.71,0.9999782621791069,3.0700749673185294e-80,0.24708588366580472,1
0.03,0.16418565097389573,0.44475198537424976,2.0427940395342325e-13,0.0,0.0013050320209103004,0.0,0.02,6.0031892387470683e-05,1.5964223843220694e-83,0.29019763504780394,0
